STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/6/2016,0,0,0,86,70
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/7/2016,0,0,0,92,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/8/2016,0,0,0,90,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/9/2016,0,0,0,84,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/10/2016,0,0,0,92,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/11/2016,0.31,0,0,93,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/12/2016,0.05,0,0,95,79
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/13/2016,0,0,0,99,82
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/14/2016,0,0,0,99,82
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/15/2016,0,0,0,98,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/16/2016,0,0,0,95,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/17/2016,0.21,0,0,95,77
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/18/2016,0.19,0,0,91,77
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/19/2016,0,0,0,90,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/20/2016,0,0,0,92,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/21/2016,0,0,0,92,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/22/2016,1.15,0,0,91,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/23/2016,0,0,0,82,62
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/24/2016,0,0,0,86,62
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/25/2016,0,0,0,87,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/26/2016,0,0,0,88,70
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/27/2016,0,0,0,94,75
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/28/2016,0,0,0,92,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/29/2016,0,0,0,93,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/30/2016,0,0,0,95,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/31/2016,0,0,0,91,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/1/2016,0.2,0,0,81,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/2/2016,0,0,0,80,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/3/2016,0,0,0,82,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/4/2016,0,0,0,78,68
